# Solver information    
# Time                  	U_solver                	Ux_initial              	Ux_final                	Ux_iters                	Uy_initial              	Uy_final                	Uy_iters                	Uz_initial              	Uz_final                	Uz_iters                	U_converged             	h_solver                	h_initial               	h_final                 	h_iters                 	h_converged             	nuTilda_solver          	nuTilda_initial         	nuTilda_final           	nuTilda_iters           	nuTilda_converged       	p_solver                	p_initial               	p_final                 	p_iters                 	p_converged             
50                      	DILUPBiCGStab	5.6990086890931411e-06	2.2037151077486550e-08	1	4.4559742322687189e-04	2.3683559353494032e-06	1	6.9371157353686754e-06	4.6703587611451727e-08	1	false	DILUPBiCGStab	5.6083922450373883e-05	3.3830209274782768e-07	1	true	DILUPBiCGStab	2.2391095973196580e-05	1.0283668615557170e-07	1	true	GAMG	1.7396004541210630e-03	1.6942994464442030e-05	8	true
51                      	DILUPBiCGStab	5.4664254121829169e-06	1.7729119673546360e-08	1	4.5814095286897931e-04	2.3327943367761508e-06	1	7.0275526188224717e-06	4.5863148922674921e-08	1	false	DILUPBiCGStab	5.6268129738163969e-05	3.3904335168769247e-07	1	true	DILUPBiCGStab	2.0300824862318110e-05	9.7992239446968224e-08	1	true	GAMG	1.5346150052403861e-03	1.4613681264378190e-05	8	true
52                      	DILUPBiCGStab	4.3585453506969220e-06	1.6170578456447630e-08	1	4.7168163590470091e-04	2.3768436443635442e-06	1	7.0795379518363382e-06	4.5307152193012133e-08	1	false	DILUPBiCGStab	5.6990029145144870e-05	3.4059118731419991e-07	1	true	DILUPBiCGStab	1.9948131433022000e-05	9.6022734448878983e-08	1	true	GAMG	1.4178379116168811e-03	1.1456389535263341e-05	9	true
53                      	DILUPBiCGStab	3.1474131167051510e-06	1.6492273187425069e-08	1	4.7977027592991121e-04	2.5157522274679240e-06	1	7.0484040364470640e-06	4.4683976475506950e-08	1	false	DILUPBiCGStab	5.7358262551389242e-05	3.3989787201491670e-07	1	true	DILUPBiCGStab	1.9469529958205581e-05	9.2142660223117032e-08	1	true	GAMG	1.4340545984583709e-03	1.1252530539443879e-05	9	true
54                      	DILUPBiCGStab	2.8187577798632941e-06	1.6647853634535731e-08	1	4.7967384762792121e-04	2.6100502946170149e-06	1	6.9333112837674277e-06	4.3711899232295727e-08	1	false	DILUPBiCGStab	5.7158965099438690e-05	3.3663020894965743e-07	1	true	DILUPBiCGStab	1.8422569957441439e-05	9.0467799294853954e-08	1	true	GAMG	1.3783376112583450e-03	1.3641959712046350e-05	8	true
55                      	DILUPBiCGStab	3.7408365996842710e-06	1.7513020086416630e-08	1	4.7401980328873349e-04	2.5347140461745972e-06	1	6.7636720009360216e-06	4.2472542532522228e-08	1	false	DILUPBiCGStab	5.6440808653286939e-05	3.3129758437460231e-07	1	true	DILUPBiCGStab	1.8101285699737819e-05	8.6965013054860940e-08	1	true	GAMG	1.2411231560743609e-03	9.8029619342349968e-06	9	true
56                      	DILUPBiCGStab	3.9389930565386402e-06	1.5652587069488960e-08	1	4.6825022161898718e-04	2.3727236566096109e-06	1	6.5819891831756569e-06	4.1181337946297951e-08	1	false	DILUPBiCGStab	5.5421453072055313e-05	3.2545032107934882e-07	1	true	DILUPBiCGStab	1.7761195885528841e-05	8.5179304260182041e-08	1	true	GAMG	1.0892053692304650e-03	8.0328088308695382e-06	9	true
57                      	DILUPBiCGStab	3.4323680196299770e-06	1.4257651966419990e-08	1	4.6903502216829029e-04	2.2779045152040699e-06	1	6.4296614200551629e-06	4.0040299243659899e-08	1	false	DILUPBiCGStab	5.4361832350486620e-05	3.1973882171042770e-07	1	true	DILUPBiCGStab	1.6872681651868550e-05	8.1956642967186287e-08	1	true	GAMG	1.0003474892856050e-03	9.7282727835785597e-06	9	true
58                      	DILUPBiCGStab	2.7582340074259902e-06	1.3839309547032950e-08	1	4.7780835357310848e-04	2.3383050671772620e-06	1	6.3376971101415826e-06	3.9170056919553040e-08	1	false	DILUPBiCGStab	5.3471581362579378e-05	3.1518236140148100e-07	1	true	DILUPBiCGStab	1.6523000894815971e-05	8.0445106298697583e-08	1	true	GAMG	1.0150434493027981e-03	1.0094291936252000e-05	8	true
59                      	DILUPBiCGStab	2.5737989678969380e-06	1.3500482209546510e-08	1	4.9341894150196984e-04	2.5672486768231849e-06	1	6.3121638107279004e-06	3.8578776266070637e-08	1	false	DILUPBiCGStab	5.2857029477900920e-05	3.1162096682556759e-07	1	true	DILUPBiCGStab	1.6269174389636391e-05	7.7368497803590597e-08	1	true	GAMG	1.0010077276808649e-03	8.5477853761950031e-06	8	true
60                      	DILUPBiCGStab	3.1400165643702838e-06	1.3755858957456260e-08	1	5.1404000248633200e-04	2.8564634685347219e-06	1	6.3299616305377104e-06	3.8163279786282138e-08	1	false	DILUPBiCGStab	5.2545615246902882e-05	3.0838872642268432e-07	1	true	DILUPBiCGStab	1.5896917699801481e-05	7.5563950894245536e-08	1	true	GAMG	9.3220136903112674e-04	8.6460688118849620e-06	8	true
61                      	DILUPBiCGStab	3.2170645507630831e-06	1.2427506628092980e-08	1	5.3719616527185619e-04	3.0571496052085579e-06	1	6.3516295294793234e-06	3.7782287722912739e-08	1	false	DILUPBiCGStab	5.2561888665669508e-05	3.0528033046095922e-07	1	true	DILUPBiCGStab	1.5283506277659470e-05	7.2590472237843366e-08	1	true	GAMG	8.4402073688846313e-04	7.2059394610608430e-06	8	true
62                      	DILUPBiCGStab	2.7639737062426591e-06	1.0899100624581959e-08	1	5.5937774867156475e-04	3.1488834400157130e-06	1	6.3448751103928172e-06	3.7343758818465142e-08	1	false	DILUPBiCGStab	5.2697931622742920e-05	3.0138957196927098e-07	1	true	DILUPBiCGStab	1.5067019759574510e-05	7.0797233244946291e-08	1	true	GAMG	7.8259856971834088e-04	6.1013211501756011e-06	9	true
