# Force and moment coefficients
# dragDir               : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# sideDir               : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# liftDir               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# rollAxis              : (1.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00)
# pitchAxis             : (0.0000000000000000e+00 0.0000000000000000e+00 -1.0000000000000000e+00)
# yawAxis               : (0.0000000000000000e+00 1.0000000000000000e+00 0.0000000000000000e+00)
# magUInf               : 2.3659999999999999e+02
# lRef                  : 1.0330000000000000e-01
# Aref                  : 6.7799999999999996e-03
# CofR                  : (3.5000000000000003e-02 0.0000000000000000e+00 0.0000000000000000e+00)
#
# Time                  	Cd                      	Cd(f)                   	Cd(r)                   	Cl                      	Cl(f)                   	Cl(r)                   	CmPitch                 	CmRoll                  	CmYaw                   	Cs                      	Cs(f)                   	Cs(r)                   
57                      	2.9596794611871736e-02	1.7611970091587513e-02	1.1984824520284220e-02	-7.8283117538393212e-05	-3.2905122254614369e-04	2.5076810500775050e-04	-2.8990966377694707e-04	2.8135727856516482e-03	-6.3643986596326309e-03	1.9779593856270800e-01	9.2533570621721364e-02	1.0526236794098663e-01
58                      	2.9592916331285406e-02	1.7616430611563049e-02	1.1976485719722357e-02	-9.7694606417539045e-05	-3.3463786364203423e-04	2.3694325722449519e-04	-2.8579056043326470e-04	2.8199724459203484e-03	-6.3718876109446427e-03	1.9781590339580535e-01	9.2536064086958025e-02	1.0527983930884731e-01
59                      	2.9607550956245385e-02	1.7632300235755637e-02	1.1975250720489749e-02	-1.2281130020561369e-04	-3.4482656356701961e-04	2.2201526336140589e-04	-2.8342091346421274e-04	2.8285247576329440e-03	-6.3781518094241617e-03	1.9783762805563318e-01	9.2540662218392439e-02	1.0529696583724074e-01
60                      	2.9629361740336618e-02	1.7651003478778834e-02	1.1978358261557786e-02	-1.4549064674008924e-04	-3.5689864823438200e-04	2.1140800149429276e-04	-2.8415332486433735e-04	2.8363226086105236e-03	-6.3840178557844508e-03	1.9785632734119574e-01	9.2544145814813419e-02	1.0531218152638230e-01
61                      	2.9647649981002375e-02	1.7664247578486374e-02	1.1983402402516002e-02	-1.5697669152525047e-04	-3.6715080966681765e-04	2.1017411814156718e-04	-2.8866246390419237e-04	2.8404225879851870e-03	-6.3902683673096386e-03	1.9786923936951356e-01	9.2544351317447135e-02	1.0532488805206643e-01
62                      	2.9655766556925988e-02	1.7666834291921400e-02	1.1988932265004592e-02	-1.5173722663403577e-04	-3.7270030482279640e-04	2.2096307818876066e-04	-2.9683169150577853e-04	2.8389510134584038e-03	-6.3973664838489703e-03	1.9787606912474909e-01	9.2540668078525581e-02	1.0533540104622352e-01
63                      	2.9652486445796648e-02	1.7658150187241591e-02	1.1994336258555055e-02	-1.2918357783344074e-04	-3.7205766747962042e-04	2.4287408964617969e-04	-3.0746587856290004e-04	2.8319069643432692e-03	-6.4053580888059390e-03	1.9787867097526998e-01	9.2533977398829056e-02	1.0534469357644094e-01
64                      	2.9640871990614430e-02	1.7641343248339728e-02	1.1999528742274701e-02	-9.3621927956630404e-05	-3.6551912614756030e-04	2.7189719819092992e-04	-3.1870816216924511e-04	2.8209072530325134e-03	-6.4139596943475763e-03	1.9788000734845099e-01	9.2526043979877917e-02	1.0535396336857307e-01
65                      	2.9625873098470108e-02	1.7621604390792876e-02	1.2004268707677233e-02	-5.3028766424501705e-05	-3.5542393533504347e-04	3.0239516891054181e-04	-3.2890955212279264e-04	2.8086678415578212e-03	-6.4227833672359626e-03	1.9788291033867436e-01	9.2518671802101216e-02	1.0536423853657315e-01
66                      	2.9612124841307888e-02	1.7603862713617767e-02	1.2008262127690125e-02	-1.5654059658825233e-05	-3.4493507709172145e-04	3.2928101743289628e-04	-3.3710804726230889e-04	2.7978002929638203e-03	-6.4315037095711413e-03	1.9788921917098987e-01	9.2513105875923790e-02	1.0537611329506609e-01
